row ID,pclass,survived,name,sex,age,sibsp,parch,ticket,fare,cabin,cabinCategory,embarked,boat,body,home.dest
Row42,1,yes,"Brown, Mrs. John Murray (Caroline Lane Lamson)",female,59,2,0,11769,51.4792,C101,C,S,D,,"Belmont, MA"
Row43,1,yes,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,60,0,0,11813,76.2917,D15,D,C,8,,"Philadelphia, PA"
Row44,1,yes,"Burns, Miss. Elizabeth Margaret",female,41,0,0,16966,134.5,E40,E,C,3,,
Row45,1,no,"Butt, Major. Archibald Willingham",male,45,0,0,113050,26.55,B38,B,S,,,"Washington, DC"
Row46,1,no,"Cairns, Mr. Alexander",male,,0,0,113798,31,,,S,,,
Row47,1,yes,"Calderhead, Mr. Edward Pennington",male,42,0,0,PC 17476,26.2875,E24,E,S,5,,"New York, NY"
Row48,1,yes,"Candee, Mrs. Edward (Helen Churchill Hungerford)",female,53,0,0,PC 17606,27.4458,,,C,6,,"Washington, DC"
Row49,1,yes,"Cardeza, Mr. Thomas Drake Martinez",male,36,0,1,PC 17755,512.3292,B51 B53 B55,B,C,3,,"Austria-Hungary / Germantown, Philadelphia, PA"
Row50,1,yes,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",female,58,0,1,PC 17755,512.3292,B51 B53 B55,B,C,3,,"Germantown, Philadelphia, PA"
Row51,1,no,"Carlsson, Mr. Frans Olof",male,33,0,0,695,5,B51 B53 B55,B,S,,,"New York, NY"
Row52,1,no,"Carrau, Mr. Francisco M",male,28,0,0,113059,47.1,,,S,,,"Montevideo, Uruguay"
Row53,1,no,"Carrau, Mr. Jose Pedro",male,17,0,0,113059,47.1,,,S,,,"Montevideo, Uruguay"
Row54,1,yes,"Carter, Master. William Thornton II",male,11,1,2,113760,120,B96 B98,B,S,4,,"Bryn Mawr, PA"
Row55,1,yes,"Carter, Miss. Lucile Polk",female,14,1,2,113760,120,B96 B98,B,S,4,,"Bryn Mawr, PA"
Row56,1,yes,"Carter, Mr. William Ernest",male,36,1,2,113760,120,B96 B98,B,S,C,,"Bryn Mawr, PA"
Row57,1,yes,"Carter, Mrs. William Ernest (Lucile Polk)",female,36,1,2,113760,120,B96 B98,B,S,4,,"Bryn Mawr, PA"
Row58,1,no,"Case, Mr. Howard Brown",male,49,0,0,19924,26,,,S,,,"Ascot, Berkshire / Rochester, NY"
Row59,1,yes,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",female,,0,0,17770,27.7208,,,C,5,,"New York, NY"
Row60,1,no,"Cavendish, Mr. Tyrell William",male,36,1,0,19877,78.85,C46,C,S,,172,"Little Onn Hall, Staffs"
Row61,1,yes,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",female,76,1,0,19877,78.85,C46,C,S,6,,"Little Onn Hall, Staffs"
Row62,1,no,"Chaffee, Mr. Herbert Fuller",male,46,1,0,W.E.P. 5734,61.175,E31,E,S,,,"Amenia, ND"
Row63,1,yes,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,47,1,0,W.E.P. 5734,61.175,E31,E,S,4,,"Amenia, ND"
Row64,1,yes,"Chambers, Mr. Norman Campbell",male,27,1,0,113806,53.1,E8,E,S,5,,"New York, NY / Ithaca, NY"
Row65,1,yes,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,33,1,0,113806,53.1,E8,E,S,5,,"New York, NY / Ithaca, NY"
Row66,1,yes,"Chaudanson, Miss. Victorine",female,36,0,0,PC 17608,262.375,B61,B,C,4,,
Row67,1,yes,"Cherry, Miss. Gladys",female,30,0,0,110152,86.5,B77,B,S,8,,"London, England"
Row68,1,yes,"Chevre, Mr. Paul Romaine",male,45,0,0,PC 17594,29.7,A9,A,C,7,,"Paris, France"
Row69,1,yes,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0,1,113505,55,E33,E,S,6,,"St Leonards-on-Sea, England Ohio"
Row70,1,no,"Chisholm, Mr. Roderick Robert Crispin",male,,0,0,112051,0,,,S,,,"Liverpool, England / Belfast"
Row71,1,no,"Clark, Mr. Walter Miller",male,27,1,0,13508,136.7792,C89,C,C,,,"Los Angeles, CA"
Row72,1,yes,"Clark, Mrs. Walter Miller (Virginia McDowell)",female,26,1,0,13508,136.7792,C89,C,C,4,,"Los Angeles, CA"
Row73,1,yes,"Cleaver, Miss. Alice",female,22,0,0,113781,151.55,,,S,11,,
Row74,1,no,"Clifford, Mr. George Quincy",male,,0,0,110465,52,A14,A,S,,,"Stoughton, MA"
Row75,1,no,"Colley, Mr. Edward Pomeroy",male,47,0,0,5727,25.5875,E58,E,S,,,"Victoria, BC"
Row76,1,yes,"Compton, Miss. Sara Rebecca",female,39,1,1,PC 17756,83.1583,E49,E,C,14,,"Lakewood, NJ"
Row77,1,no,"Compton, Mr. Alexander Taylor Jr",male,37,1,1,PC 17756,83.1583,E52,E,C,,,"Lakewood, NJ"
Row78,1,yes,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,64,0,2,PC 17756,83.1583,E45,E,C,14,,"Lakewood, NJ"
Row79,1,yes,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",female,55,2,0,11770,25.7,C101,C,S,2,,"New York, NY"
Row80,1,no,"Crafton, Mr. John Bertram",male,,0,0,113791,26.55,,,S,,,"Roachdale, IN"
Row81,1,no,"Crosby, Capt. Edward Gifford",male,70,1,1,WE/P 5735,71,B22,B,S,,269,"Milwaukee, WI"
Row82,1,yes,"Crosby, Miss. Harriet R",female,36,0,2,WE/P 5735,71,B22,B,S,7,,"Milwaukee, WI"
Row83,1,yes,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",female,64,1,1,112901,26.55,B26,B,S,7,,"Milwaukee, WI"
Row84,1,no,"Cumings, Mr. John Bradley",male,39,1,0,PC 17599,71.2833,C85,C,C,,,"New York, NY"
Row85,1,yes,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,PC 17599,71.2833,C85,C,C,4,,"New York, NY"
Row86,1,yes,"Daly, Mr. Peter Denis ",male,51,0,0,113055,26.55,E17,E,S,5 9,,"Lima, Peru"
Row87,1,yes,"Daniel, Mr. Robert Williams",male,27,0,0,113804,30.5,,,S,3,,"Philadelphia, PA"
Row88,1,yes,"Daniels, Miss. Sarah",female,33,0,0,113781,151.55,,,S,8,,
Row89,1,no,"Davidson, Mr. Thornton",male,31,1,0,F.C. 12750,52,B71,B,S,,,"Montreal, PQ"
Row90,1,yes,"Davidson, Mrs. Thornton (Orian Hays)",female,27,1,2,F.C. 12750,52,B71,B,S,3,,"Montreal, PQ"
Row91,1,yes,"Dick, Mr. Albert Adrian",male,31,1,0,17474,57,B20,B,S,3,,"Calgary, AB"
Row92,1,yes,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,17,1,0,17474,57,B20,B,S,3,,"Calgary, AB"
Row93,1,yes,"Dodge, Dr. Washington",male,53,1,1,33638,81.8583,A34,A,S,13,,"San Francisco, CA"
Row94,1,yes,"Dodge, Master. Washington",male,4,0,2,33638,81.8583,A34,A,S,5,,"San Francisco, CA"
Row95,1,yes,"Dodge, Mrs. Washington (Ruth Vidaver)",female,54,1,1,33638,81.8583,A34,A,S,5,,"San Francisco, CA"
Row96,1,no,"Douglas, Mr. Walter Donald",male,50,1,0,PC 17761,106.425,C86,C,C,,62,"Deephaven, MN / Cedar Rapids, IA"
Row97,1,yes,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",female,27,1,1,PC 17558,247.5208,B58 B60,B,C,6,,"Montreal, PQ"
Row98,1,yes,"Douglas, Mrs. Walter Donald (Mahala Dutton)",female,48,1,0,PC 17761,106.425,C86,C,C,2,,"Deephaven, MN / Cedar Rapids, IA"
Row99,1,yes,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (Mrs Morgan)",female,48,1,0,11755,39.6,A16,A,C,1,,London / Paris
Row100,1,yes,"Duff Gordon, Sir. Cosmo Edmund (Mr Morgan)",male,49,1,0,PC 17485,56.9292,A20,A,C,1,,London / Paris
Row101,1,no,"Dulles, Mr. William Crothers",male,39,0,0,PC 17580,29.7,A18,A,C,,133,"Philadelphia, PA"
Row102,1,yes,"Earnshaw, Mrs. Boulton (Olive Potter)",female,23,0,1,11767,83.1583,C54,C,C,7,,"Mt Airy, Philadelphia, PA"
Row103,1,yes,"Endres, Miss. Caroline Louise",female,38,0,0,PC 17757,227.525,C45,C,C,4,,"New York, NY"
Row104,1,yes,"Eustis, Miss. Elizabeth Mussey",female,54,1,0,36947,78.2667,D20,D,C,4,,"Brookline, MA"
Row105,1,no,"Evans, Miss. Edith Corse",female,36,0,0,PC 17531,31.6792,A29,A,C,,,"New York, NY"
Row106,1,no,"Farthing, Mr. John",male,,0,0,PC 17483,221.7792,C95,C,S,,,
Row107,1,yes,"Flegenheim, Mrs. Alfred (Antoinette)",female,,0,0,PC 17598,31.6833,,,S,7,,"New York, NY"
Row108,1,yes,"Fleming, Miss. Margaret",female,,0,0,17421,110.8833,,,C,4,,
Row109,1,yes,"Flynn, Mr. John Irwin (Irving)",male,36,0,0,PC 17474,26.3875,E25,E,S,5,,"Brooklyn, NY"
Row110,1,no,"Foreman, Mr. Benjamin Laventall",male,30,0,0,113051,27.75,C111,C,C,,,"New York, NY"
Row111,1,yes,"Fortune, Miss. Alice Elizabeth",female,24,3,2,19950,263,C23 C25 C27,C,S,10,,"Winnipeg, MB"
Row112,1,yes,"Fortune, Miss. Ethel Flora",female,28,3,2,19950,263,C23 C25 C27,C,S,10,,"Winnipeg, MB"
Row113,1,yes,"Fortune, Miss. Mabel Helen",female,23,3,2,19950,263,C23 C25 C27,C,S,10,,"Winnipeg, MB"
Row114,1,no,"Fortune, Mr. Charles Alexander",male,19,3,2,19950,263,C23 C25 C27,C,S,,,"Winnipeg, MB"
Row115,1,no,"Fortune, Mr. Mark",male,64,1,4,19950,263,C23 C25 C27,C,S,,,"Winnipeg, MB"
Row116,1,yes,"Fortune, Mrs. Mark (Mary McDougald)",female,60,1,4,19950,263,C23 C25 C27,C,S,10,,"Winnipeg, MB"
Row117,1,yes,"Francatelli, Miss. Laura Mabel",female,30,0,0,PC 17485,56.9292,E36,E,C,1,,
Row118,1,no,"Franklin, Mr. Thomas Parham",male,,0,0,113778,26.55,D34,D,S,,,"Westcliff-on-Sea, Essex"
Row119,1,yes,"Frauenthal, Dr. Henry William",male,50,2,0,PC 17611,133.65,,,S,5,,"New York, NY"
Row120,1,yes,"Frauenthal, Mr. Isaac Gerald",male,43,1,0,17765,27.7208,D40,D,C,5,,"New York, NY"
Row121,1,yes,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,,1,0,PC 17611,133.65,,,S,5,,"New York, NY"
Row122,1,yes,"Frolicher, Miss. Hedwig Margaritha",female,22,0,2,13568,49.5,B39,B,C,5,,"Zurich, Switzerland"
Row123,1,yes,"Frolicher-Stehli, Mr. Maxmillian",male,60,1,1,13567,79.2,B41,B,C,5,,"Zurich, Switzerland"
Row124,1,yes,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",female,48,1,1,13567,79.2,B41,B,C,5,,"Zurich, Switzerland"
Row125,1,no,"Fry, Mr. Richard",male,,0,0,112058,0,B102,B,S,,,
Row126,1,no,"Futrelle, Mr. Jacques Heath",male,37,1,0,113803,53.1,C123,C,S,,,"Scituate, MA"
Row127,1,yes,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,113803,53.1,C123,C,S,D,,"Scituate, MA"
Row128,1,no,"Gee, Mr. Arthur H",male,47,0,0,111320,38.5,E63,E,S,,275,"St Anne's-on-Sea, Lancashire"
Row129,1,yes,"Geiger, Miss. Amalie",female,35,0,0,113503,211.5,C130,C,C,4,,
Row130,1,yes,"Gibson, Miss. Dorothy Winifred",female,22,0,1,112378,59.4,,,C,7,,"New York, NY"
Row131,1,yes,"Gibson, Mrs. Leonard (Pauline C Boeson)",female,45,0,1,112378,59.4,,,C,7,,"New York, NY"
Row132,1,no,"Giglio, Mr. Victor",male,24,0,0,PC 17593,79.2,B86,B,C,,,
Row133,1,yes,"Goldenberg, Mr. Samuel L",male,49,1,0,17453,89.1042,C92,C,C,5,,"Paris, France / New York, NY"
Row134,1,yes,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",female,,1,0,17453,89.1042,C92,C,C,5,,"Paris, France / New York, NY"
Row135,1,no,"Goldschmidt, Mr. George B",male,71,0,0,PC 17754,34.6542,A5,A,C,,,"New York, NY"
Row136,1,yes,"Gracie, Col. Archibald IV",male,53,0,0,113780,28.5,C51,C,C,B,,"Washington, DC"
Row137,1,yes,"Graham, Miss. Margaret Edith",female,19,0,0,112053,30,B42,B,S,3,,"Greenwich, CT"
Row138,1,no,"Graham, Mr. George Edward",male,38,0,1,PC 17582,153.4625,C91,C,S,,147,"Winnipeg, MB"
Row139,1,yes,"Graham, Mrs. William Thompson (Edith Junkins)",female,58,0,1,PC 17582,153.4625,C125,C,S,3,,"Greenwich, CT"
Row140,1,yes,"Greenfield, Mr. William Bertram",male,23,0,1,PC 17759,63.3583,D10 D12,D,C,7,,"New York, NY"
Row141,1,yes,"Greenfield, Mrs. Leo David (Blanche Strouse)",female,45,0,1,PC 17759,63.3583,D10 D12,D,C,7,,"New York, NY"
Row142,1,no,"Guggenheim, Mr. Benjamin",male,46,0,0,PC 17593,79.2,B82 B84,B,C,,,"New York, NY"
Row143,1,yes,"Harder, Mr. George Achilles",male,25,1,0,11765,55.4417,E50,E,C,5,,"Brooklyn, NY"
Row144,1,yes,"Harder, Mrs. George Achilles (Dorothy Annan)",female,25,1,0,11765,55.4417,E50,E,C,5,,"Brooklyn, NY"
Row145,1,yes,"Harper, Mr. Henry Sleeper",male,48,1,0,PC 17572,76.7292,D33,D,C,3,,"New York, NY"
Row146,1,yes,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,0,PC 17572,76.7292,D33,D,C,3,,"New York, NY"
Row147,1,no,"Harrington, Mr. Charles H",male,,0,0,113796,42.4,,,S,,,
Row148,1,no,"Harris, Mr. Henry Birkhardt",male,45,1,0,36973,83.475,C83,C,S,,,"New York, NY"
Row149,1,yes,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,0,36973,83.475,C83,C,S,D,,"New York, NY"
Row150,1,no,"Harrison, Mr. William",male,40,0,0,112059,0,B94,B,S,,110,
Row151,1,yes,"Hassab, Mr. Hammad",male,27,0,0,PC 17572,76.7292,D49,D,C,3,,
Row152,1,yes,"Hawksford, Mr. Walter James",male,,0,0,16988,30,D45,D,S,3,,"Kingston, Surrey"
Row153,1,yes,"Hays, Miss. Margaret Bechstein",female,24,0,0,11767,83.1583,C54,C,C,7,,"New York, NY"
Row154,1,no,"Hays, Mr. Charles Melville",male,55,1,1,12749,93.5,B69,B,S,,307,"Montreal, PQ"
Row155,1,yes,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,52,1,1,12749,93.5,B69,B,S,3,,"Montreal, PQ"
Row156,1,no,"Head, Mr. Christopher",male,42,0,0,113038,42.5,B11,B,S,,,London / Middlesex
Row157,1,no,"Hilliard, Mr. Herbert Henry",male,,0,0,17463,51.8625,E46,E,S,,,"Brighton, MA"
Row158,1,no,"Hipkins, Mr. William Edward",male,55,0,0,680,50,C39,C,S,,,London / Birmingham
Row159,1,yes,"Hippach, Miss. Jean Gertrude",female,16,0,1,111361,57.9792,B18,B,C,4,,"Chicago, IL"
Row160,1,yes,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,44,0,1,111361,57.9792,B18,B,C,4,,"Chicago, IL"
Row161,1,yes,"Hogeboom, Mrs. John C (Anna Andrews)",female,51,1,0,13502,77.9583,D11,D,S,10,,"Hudson, NY"
Row162,1,no,"Holverson, Mr. Alexander Oskar",male,42,1,0,113789,52,,,S,,38,"New York, NY"
Row163,1,yes,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35,1,0,113789,52,,,S,8,,"New York, NY"
Row164,1,yes,"Homer, Mr. Harry (Mr E Haven)",male,35,0,0,111426,26.55,,,C,15,,"Indianapolis, IN"
Row165,1,yes,"Hoyt, Mr. Frederick Maxfield",male,38,1,0,19943,90,C93,C,S,D,,"New York, NY /  Stamford CT"
Row166,1,no,"Hoyt, Mr. William Fisher",male,,0,0,PC 17600,30.6958,,,C,14,,"New York, NY"
Row167,1,yes,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35,1,0,19943,90,C93,C,S,D,,"New York, NY /  Stamford CT"
Row168,1,yes,"Icard, Miss. Amelie",female,38,0,0,113572,80,B28,B,,6,,
Row169,1,no,"Isham, Miss. Ann Elizabeth",female,50,0,0,PC 17595,28.7125,C49,C,C,,,"Paris, France New York, NY"
Row170,1,yes,"Ismay, Mr. Joseph Bruce",male,49,0,0,112058,0,B52 B54 B56,B,S,C,,Liverpool
Row171,1,no,"Jones, Mr. Charles Cresson",male,46,0,0,694,26,,,S,,80,"Bennington, VT"
Row172,1,no,"Julian, Mr. Henry Forbes",male,50,0,0,113044,26,E60,E,S,,,London
Row173,1,no,"Keeping, Mr. Edwin",male,32.5,0,0,113503,211.5,C132,C,C,,45,
Row174,1,no,"Kent, Mr. Edward Austin",male,58,0,0,11771,29.7,B37,B,C,,258,"Buffalo, NY"
Row175,1,no,"Kenyon, Mr. Frederick R",male,41,1,0,17464,51.8625,D21,D,S,,,"Southington / Noank, CT"
Row176,1,yes,"Kenyon, Mrs. Frederick R (Marion)",female,,1,0,17464,51.8625,D21,D,S,8,,"Southington / Noank, CT"
Row177,1,yes,"Kimball, Mr. Edwin Nelson Jr",male,42,1,0,11753,52.5542,D19,D,S,5,,"Boston, MA"
Row178,1,yes,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",female,45,1,0,11753,52.5542,D19,D,S,5,,"Boston, MA"
Row179,1,no,"Klaber, Mr. Herman",male,,0,0,113028,26.55,C124,C,S,,,"Portland, OR"
Row180,1,yes,"Kreuchen, Miss. Emilie",female,39,0,0,24160,211.3375,,,S,2,,
Row181,1,yes,"Leader, Dr. Alice (Farnham)",female,49,0,0,17465,25.9292,D17,D,S,8,,"New York, NY"
Row182,1,yes,"LeRoy, Miss. Bertha",female,30,0,0,PC 17761,106.425,,,C,2,,
Row183,1,yes,"Lesurer, Mr. Gustave J",male,35,0,0,PC 17755,512.3292,B101,B,C,3,,
Row184,1,no,"Lewy, Mr. Ervin G",male,,0,0,PC 17612,27.7208,,,C,,,"Chicago, IL"
Row185,1,no,"Lindeberg-Lind, Mr. Erik Gustaf (Mr Edward Lingrey)",male,42,0,0,17475,26.55,,,S,,,"Stockholm, Sweden"
Row186,1,yes,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",female,55,0,0,112377,27.7208,,,C,6,,"Stockholm, Sweden"
Row187,1,yes,"Lines, Miss. Mary Conover",female,16,0,1,PC 17592,39.4,D28,D,S,9,,"Paris, France"
Row188,1,yes,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",female,51,0,1,PC 17592,39.4,D28,D,S,9,,"Paris, France"
Row189,1,no,"Long, Mr. Milton Clyde",male,29,0,0,113501,30,D6,D,S,,126,"Springfield, MA"
Row190,1,yes,"Longley, Miss. Gretchen Fiske",female,21,0,0,13502,77.9583,D9,D,S,10,,"Hudson, NY"
Row191,1,no,"Loring, Mr. Joseph Holland",male,30,0,0,113801,45.5,,,S,,,"London / New York, NY"
Row192,1,yes,"Lurette, Miss. Elise",female,58,0,0,PC 17569,146.5208,B80,B,C,,,
Row193,1,yes,"Madill, Miss. Georgette Alexandra",female,15,0,1,24160,211.3375,B5,B,S,2,,"St Louis, MO"
Row194,1,no,"Maguire, Mr. John Edward",male,30,0,0,110469,26,C106,C,S,,,"Brockton, MA"
Row195,1,yes,"Maioni, Miss. Roberta",female,16,0,0,110152,86.5,B79,B,S,8,,
Row196,1,yes,"Marechal, Mr. Pierre",male,,0,0,11774,29.7,C47,C,C,7,,"Paris, France"
Row197,1,no,"Marvin, Mr. Daniel Warner",male,19,1,0,113773,53.1,D30,D,S,,,"New York, NY"
Row198,1,yes,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",female,18,1,0,113773,53.1,D30,D,S,10,,"New York, NY"
Row199,1,yes,"Mayne, Mlle. Berthe Antonine (Mrs de Villiers)",female,24,0,0,PC 17482,49.5042,C90,C,C,6,,"Belgium  Montreal, PQ"
Row200,1,no,"McCaffry, Mr. Thomas Francis",male,46,0,0,13050,75.2417,C6,C,C,,292,"Vancouver, BC"
Row201,1,no,"McCarthy, Mr. Timothy J",male,54,0,0,17463,51.8625,E46,E,S,,175,"Dorchester, MA"
Row202,1,yes,"McGough, Mr. James Robert",male,36,0,0,PC 17473,26.2875,E25,E,S,7,,"Philadelphia, PA"
Row203,1,no,"Meyer, Mr. Edgar Joseph",male,28,1,0,PC 17604,82.1708,,,C,,,"New York, NY"
Row204,1,yes,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,1,0,PC 17604,82.1708,,,C,6,,"New York, NY"
Row205,1,no,"Millet, Mr. Francis Davis",male,65,0,0,13509,26.55,E38,E,S,,249,"East Bridgewater, MA"
Row206,1,no,"Minahan, Dr. William Edward",male,44,2,0,19928,90,C78,C,Q,,230,"Fond du Lac, WI"
Row207,1,yes,"Minahan, Miss. Daisy E",female,33,1,0,19928,90,C78,C,Q,14,,"Green Bay, WI"
Row208,1,yes,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,37,1,0,19928,90,C78,C,Q,14,,"Fond du Lac, WI"
Row209,1,yes,"Mock, Mr. Philipp Edmund",male,30,1,0,13236,57.75,C78,C,C,11,,"New York, NY"
Row210,1,no,"Molson, Mr. Harry Markland",male,55,0,0,113787,30.5,C30,C,S,,,"Montreal, PQ"
Row211,1,no,"Moore, Mr. Clarence Bloomfield",male,47,0,0,113796,42.4,,,S,,,"Washington, DC"
Row212,1,no,"Natsch, Mr. Charles H",male,37,0,1,PC 17596,29.7,C118,C,C,,,"Brooklyn, NY"
Row213,1,yes,"Newell, Miss. Madeleine",female,31,1,0,35273,113.275,D36,D,C,6,,"Lexington, MA"
